Location,Year,Measure,Metric,Estimate,Lower_95_UI,Upper_95_UI,Formatted_95_UI
High SDI,1990,YLDs,Number,127946.85786526962,88082.15697969783,178127.92003771086,127947 (88082 to 178128)
High SDI,1990,YLDs,"Weighted rate per 100,000",37.21464672291622,25.6141356309952,51.825199896984685,37.21 (25.61 to 51.83)
High SDI,1990,DALYs,Number,2176869.5904146153,2038680.6244008616,2311857.697536862,2176870 (2038681 to 2311858)
High SDI,1990,DALYs,"Weighted rate per 100,000",629.6628613811492,590.1997602587953,668.0326847425055,629.66 (590.2 to 668.03)
High SDI,2023,Incidence,Number,250243.9876894981,215636.48695756303,287281.7459909137,250244 (215636 to 287282)
High SDI,2023,Incidence,"Weighted rate per 100,000",52.08012583150364,44.848982756668455,59.809348815637016,52.08 (44.85 to 59.81)
High SDI,2023,Deaths,Number,36343.75016949704,33513.770341905285,39443.729276818594,36344 (33514 to 39444)
High SDI,2023,Deaths,"Weighted rate per 100,000",7.52931718092596,6.940735147325742,8.17555133678713,7.53 (6.94 to 8.18)
High SDI,2023,YLLs,Number,1726448.2010435644,1591310.9152420158,1874714.5261075557,1726448 (1591311 to 1874715)
High SDI,2023,YLLs,"Weighted rate per 100,000",360.8326377753921,332.46789315903686,392.0575250292266,360.83 (332.47 to 392.06)
High SDI,2023,YLDs,Number,172982.4149338276,121085.35747788964,247813.09800031,172982 (121085 to 247813)
High SDI,2023,YLDs,"Weighted rate per 100,000",36.05670796263458,25.23564986075826,51.64649178976679,36.06 (25.24 to 51.65)
High SDI,2023,DALYs,Number,1899430.615977393,1743555.9781046817,2072768.8408599105,1899431 (1743556 to 2072769)
High SDI,2023,DALYs,"Weighted rate per 100,000",396.8893457380315,364.2374127204778,433.3458295252424,396.89 (364.24 to 433.35)
High-middle SDI,1990,Incidence,Number,40700.88954979107,32426.369256710226,48502.473071841945,40701 (32426 to 48502)
High-middle SDI,1990,Incidence,"Weighted rate per 100,000",25.22643389652774,20.174300483742897,29.977927371513474,25.23 (20.17 to 29.98)
High-middle SDI,1990,Deaths,Number,15466.038105895186,12489.819292782224,18015.121210838657,15466 (12490 to 18015)
High-middle SDI,1990,Deaths,"Weighted rate per 100,000",9.648998550235634,7.815431803351796,11.226627933515946,9.65 (7.82 to 11.23)
High-middle SDI,1990,YLLs,Number,762881.5527836871,614361.5369324624,889558.4278481002,762882 (614362 to 889558)
High-middle SDI,1990,YLLs,"Weighted rate per 100,000",468.2547287056354,378.33791100914283,545.3145521524402,468.25 (378.34 to 545.31)
High-middle SDI,1990,YLDs,Number,26273.340634785076,17830.846567825065,37496.381767454426,26273 (17831 to 37496)
High-middle SDI,1990,YLDs,"Weighted rate per 100,000",16.21645013663629,11.051942576499098,23.106895648661514,16.22 (11.05 to 23.11)
High-middle SDI,1990,DALYs,Number,789154.8934184727,635807.1635413547,919301.8120622907,789155 (635807 to 919302)
High-middle SDI,1990,DALYs,"Weighted rate per 100,000",484.4711788422721,391.5531071333576,563.6504184947869,484.47 (391.55 to 563.65)
High-middle SDI,2023,Incidence,Number,114513.9623190407,93655.26762344506,139079.5739680025,114514 (93655 to 139080)
High-middle SDI,2023,Incidence,"Weighted rate per 100,000",37.24588516311578,30.44306092639646,45.24244269268432,37.25 (30.44 to 45.24)
High-middle SDI,2023,Deaths,Number,27810.383098014267,23090.983473729084,33039.722380426116,27810 (23091 to 33040)
High-middle SDI,2023,Deaths,"Weighted rate per 100,000",9.023114014305394,7.488295492420469,10.725813175776823,9.02 (7.49 to 10.73)
High-middle SDI,2023,YLLs,Number,1341897.9465370225,1110791.415221953,1597678.088817006,1341898 (1110791 to 1597678)
High-middle SDI,2023,YLLs,"Weighted rate per 100,000",436.9277913706554,361.4678343328122,520.6078133335018,436.93 (361.47 to 520.61)
High-middle SDI,2023,YLDs,Number,73113.89880249352,50174.51379958214,104950.81662575234,73114 (50175 to 104951)
