location_name,year,Rate,measure_clean
High-middle SDI,2003,28.670348483410976,Incidence
High-middle SDI,2004,28.240171783565714,Incidence
High-middle SDI,2005,27.935903480954156,Incidence
High-middle SDI,2006,28.054128962008814,Incidence
High-middle SDI,2007,28.232243976995733,Incidence
High-middle SDI,2008,28.180847277106874,Incidence
High-middle SDI,2009,28.274281626587015,Incidence
High-middle SDI,2010,28.500905127021202,Incidence
High-middle SDI,2011,28.452757708387658,Incidence
High-middle SDI,2012,28.484694574391437,Incidence
High-middle SDI,2013,28.636443419522372,Incidence
High-middle SDI,2014,29.008750980716545,Incidence
High-middle SDI,2015,29.426460764601728,Incidence
High-middle SDI,2016,29.97466998931196,Incidence
High-middle SDI,2017,30.67044527199398,Incidence
High-middle SDI,2018,31.13074253366743,Incidence
High-middle SDI,2019,31.794413174018025,Incidence
High-middle SDI,2020,32.726172450585764,Incidence
High-middle SDI,2021,34.712893010353085,Incidence
High-middle SDI,2022,35.69810785918536,Incidence
High-middle SDI,2023,37.24588516311578,Incidence
Low SDI,1990,20.025352174402034,Incidence
Low SDI,1991,20.51297858531134,Incidence
Low SDI,1992,20.25373662373528,Incidence
Low SDI,1993,20.151392868053538,Incidence
Low SDI,1994,20.045231375395826,Incidence
Low SDI,1995,19.840655157286925,Incidence
Low SDI,1996,19.938464696976926,Incidence
Low SDI,1997,20.09966320550472,Incidence
Low SDI,1998,20.467452309751614,Incidence
Low SDI,1999,20.781587353893762,Incidence
Low SDI,2000,20.95996994798943,Incidence
Low SDI,2001,21.10062535861298,Incidence
Low SDI,2002,21.16887851599433,Incidence
Low SDI,2003,20.970053458968277,Incidence
Low SDI,2004,20.849505641305296,Incidence
Low SDI,2005,20.995070925642104,Incidence
Low SDI,2006,21.25675950488795,Incidence
Low SDI,2007,21.741810724787243,Incidence
Low SDI,2008,22.168897158510134,Incidence
Low SDI,2009,22.81864014586712,Incidence
Low SDI,2010,23.50201406598279,Incidence
Low SDI,2011,24.108682956622445,Incidence
Low SDI,2012,24.938022067436442,Incidence
Low SDI,2013,26.467019674392567,Incidence
Low SDI,2014,27.94820308317926,Incidence
Low SDI,2015,29.39676643057188,Incidence
Low SDI,2016,30.61481237571262,Incidence
Low SDI,2017,32.18504807025449,Incidence
Low SDI,2018,34.14636145114764,Incidence
Low SDI,2019,36.25536526325878,Incidence
Low SDI,2020,37.971950937383156,Incidence
Low SDI,2021,42.22467571029192,Incidence
Low SDI,2022,47.249717874234555,Incidence
Low SDI,2023,51.7901280182233,Incidence
Low-middle SDI,1990,18.384905144492276,Incidence
Low-middle SDI,1991,18.69358121837013,Incidence
Low-middle SDI,1992,18.77455672071033,Incidence
Low-middle SDI,1993,18.94758104650487,Incidence
Low-middle SDI,1994,19.0679117876974,Incidence
Low-middle SDI,1995,19.2730845246719,Incidence
Low-middle SDI,1996,19.646996937603976,Incidence
Low-middle SDI,1997,20.159290436108368,Incidence
Low-middle SDI,1998,20.6987352376915,Incidence
Low-middle SDI,1999,20.97128618524814,Incidence
Low-middle SDI,2000,21.366517153367205,Incidence
Low-middle SDI,2001,21.71266675928214,Incidence
Low-middle SDI,2002,21.907279790108102,Incidence
Low-middle SDI,2003,22.144494111287614,Incidence
Low-middle SDI,2004,22.439827339257132,Incidence
Low-middle SDI,2005,22.725492041138263,Incidence
Low-middle SDI,2006,23.048245801902237,Incidence
Low-middle SDI,2007,23.721095823512357,Incidence
Low-middle SDI,2008,24.591780125010978,Incidence
Low-middle SDI,2009,25.05651184308523,Incidence
Low-middle SDI,2010,25.89302364671183,Incidence
Low-middle SDI,2011,26.75142014008858,Incidence
Low-middle SDI,2012,27.718731445007105,Incidence
Low-middle SDI,2013,29.026106820391444,Incidence
Low-middle SDI,2014,30.92368958093841,Incidence
Low-middle SDI,2015,32.420203457413095,Incidence
Low-middle SDI,2016,33.523906280544686,Incidence
Low-middle SDI,2017,34.57060021575118,Incidence
Low-middle SDI,2018,35.77859426662631,Incidence
Low-middle SDI,2019,37.44719778479323,Incidence
Low-middle SDI,2020,39.45787360761631,Incidence
Low-middle SDI,2021,42.63991474732889,Incidence
Low-middle SDI,2022,45.79127916426263,Incidence
Low-middle SDI,2023,47.92685048913508,Incidence
Middle SDI,1990,21.95558800911158,Incidence
