population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,measure_clean
1,All Population,1,Deaths,118,Suriname,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,18.10181498,25.26165429,13.09522589,Deaths
1,All Population,1,Deaths,320,Cook Islands,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,64.38346528,85.37716269,45.11512517,Deaths
1,All Population,1,Deaths,180,Kenya,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,25.17044156,33.38405865,17.50016168,Deaths
1,All Population,1,Deaths,162,Bhutan,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.41869411,23.55260361,10.05824142,Deaths
1,All Population,1,Deaths,45,Bulgaria,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,17.84377533,19.97554075,16.00450165,Deaths
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,22.81037555,31.19272889,14.70397293,Deaths
1,All Population,1,Deaths,43,Albania,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,10.03228161,13.54235322,6.974694726,Deaths
1,All Population,1,Deaths,12,Laos,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,29.55965253,41.8510405,19.78279682,Deaths
1,All Population,1,Deaths,83,Iceland,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,17.97600562,20.43226066,15.40070373,Deaths
1,All Population,1,Deaths,66,Brunei Darussalam,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,18.37749437,23.70057567,13.83850274,Deaths
1,All Population,1,Deaths,129,Honduras,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,9.81514187,13.2949033,6.647889075,Deaths
1,All Population,1,Deaths,146,Lebanon,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,23.63211743,29.78254304,17.83554477,Deaths
1,All Population,1,Deaths,101,Canada,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.80836219,19.09223127,14.79102879,Deaths
1,All Population,1,Deaths,67,Japan,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,11.31700559,12.21235587,10.01074486,Deaths
1,All Population,1,Deaths,130,Mexico,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,12.15848981,12.80848609,11.45841813,Deaths
1,All Population,1,Deaths,99,Uruguay,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,30.75192657,32.78545544,28.22746577,Deaths
1,All Population,1,Deaths,135,Brazil,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.57402278,17.70677352,15.15410757,Deaths
1,All Population,1,Deaths,17,Sri Lanka,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,17.46644796,20.15093846,14.38846025,Deaths
1,All Population,1,Deaths,211,Mali,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,38.74201819,53.61735052,25.0183623,Deaths
1,All Population,1,Deaths,193,Botswana,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,17.14628907,25.18176451,11.10109795,Deaths
1,All Population,1,Deaths,14,Maldives,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,13.56432997,17.51908686,10.11408004,Deaths
1,All Population,1,Deaths,84,Ireland,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,20.50756869,23.22673339,17.91141995,Deaths
1,All Population,1,Deaths,169,Central African Republic,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,23.3364529,35.40710755,13.3339251,Deaths
