location_name,year,age_name,Risk_Factor,val
China,1994,35-39 years,High fasting plasma glucose,0.054366981
China,1994,35-39 years,Low physical activity,0.010774211
China,1994,35-39 years,Tobacco use,0.141401213
China,1994,40-44 years,High BMI,0
China,1994,40-44 years,High alcohol use,0.017120798
China,1994,40-44 years,High fasting plasma glucose,0.063634956
China,1994,40-44 years,Low physical activity,0.011005397
China,1994,40-44 years,Tobacco use,0.143844972
China,1994,45-49 years,High BMI,0
China,1994,45-49 years,High alcohol use,0.016143582
China,1994,45-49 years,High fasting plasma glucose,0.071549379
China,1994,45-49 years,Low physical activity,0.011806218
China,1994,45-49 years,Tobacco use,0.14552017
China,1995,25-29 years,High BMI,0
China,1995,25-29 years,High alcohol use,0.008338651
China,1995,25-29 years,High fasting plasma glucose,0.03511786
China,1995,25-29 years,Low physical activity,0.010616029
China,1995,25-29 years,Tobacco use,0.139246527
China,1995,30-34 years,High BMI,0
China,1995,30-34 years,High alcohol use,0.011409601
China,1995,30-34 years,High fasting plasma glucose,0.04345072
China,1995,30-34 years,Low physical activity,0.010807546
China,1995,30-34 years,Tobacco use,0.140529268
China,1995,35-39 years,High BMI,0
China,1995,35-39 years,High alcohol use,0.014282506
China,1995,35-39 years,High fasting plasma glucose,0.052922965
China,1995,35-39 years,Low physical activity,0.01073557
China,1995,35-39 years,Tobacco use,0.141033552
China,1995,40-44 years,High BMI,0
China,1995,40-44 years,High alcohol use,0.016959161
China,1995,40-44 years,High fasting plasma glucose,0.062203734
China,1995,40-44 years,Low physical activity,0.010952409
China,1995,40-44 years,Tobacco use,0.143403451
China,1995,45-49 years,High BMI,0
China,1995,45-49 years,High alcohol use,0.015864352
China,1995,45-49 years,High fasting plasma glucose,0.070191568
China,1995,45-49 years,Low physical activity,0.01175463
China,1995,45-49 years,Tobacco use,0.14521258
China,1996,25-29 years,High BMI,0
China,1996,25-29 years,High alcohol use,0.00814535
China,1996,25-29 years,High fasting plasma glucose,0.033765251
China,1996,25-29 years,Low physical activity,0.010543143
China,1996,25-29 years,Tobacco use,0.138529961
China,1996,30-34 years,High BMI,0
China,1996,30-34 years,High alcohol use,0.011241971
China,1996,30-34 years,High fasting plasma glucose,0.042026674
China,1996,30-34 years,Low physical activity,0.010752824
China,1996,30-34 years,Tobacco use,0.139795939
China,1996,35-39 years,High BMI,0
