Analysis_type,Analysis_ID,Feature,Mean_abs_SHAP,Normalized_importance,Rank,Risk_Factor,Bootstrap_ID
Grouped calendar-block bootstrap,Bootstrap 33,High_alcohol_use,17.005904454869384,0.16005535836062953,2,High alcohol use,33
Grouped calendar-block bootstrap,Bootstrap 33,High_fasting_plasma_glucose,76.13161053175435,0.7165318515442294,1,High fasting plasma glucose,33
Grouped calendar-block bootstrap,Bootstrap 33,Low_physical_activity,7.892046760115773,0.0742779883152576,3,Low physical activity,33
Grouped calendar-block bootstrap,Bootstrap 33,Tobacco_use,5.220579635921647,0.04913480177988344,4,Tobacco use,33
Grouped calendar-block bootstrap,Bootstrap 34,High_alcohol_use,10.864356603341944,0.1031744775546091,2,High alcohol use,34
Grouped calendar-block bootstrap,Bootstrap 34,High_fasting_plasma_glucose,86.4485825286192,0.8209678366948269,1,High fasting plasma glucose,34
Grouped calendar-block bootstrap,Bootstrap 34,Low_physical_activity,6.12665448936579,0.05818240317180618,3,Low physical activity,34
Grouped calendar-block bootstrap,Bootstrap 34,Tobacco_use,1.8612216659766787,0.01767528257875788,4,Tobacco use,34
Grouped calendar-block bootstrap,Bootstrap 35,High_alcohol_use,6.483039807100945,0.05653770834372076,3,High alcohol use,35
Grouped calendar-block bootstrap,Bootstrap 35,High_fasting_plasma_glucose,91.44554370080724,0.7974841483197928,1,High fasting plasma glucose,35
Grouped calendar-block bootstrap,Bootstrap 35,Low_physical_activity,11.399193188022165,0.0994108132904282,2,Low physical activity,35
Grouped calendar-block bootstrap,Bootstrap 35,Tobacco_use,5.339761077042888,0.046567330046058175,4,Tobacco use,35
Grouped calendar-block bootstrap,Bootstrap 36,High_alcohol_use,10.316447525383795,0.08754372096054082,3,High alcohol use,36
Grouped calendar-block bootstrap,Bootstrap 36,High_fasting_plasma_glucose,83.44846791239345,0.7081303298962344,1,High fasting plasma glucose,36
Grouped calendar-block bootstrap,Bootstrap 36,Low_physical_activity,15.339675326557721,0.13017002733831123,2,Low physical activity,36
Grouped calendar-block bootstrap,Bootstrap 36,Tobacco_use,8.738784090999294,0.07415592180491365,4,Tobacco use,36
Grouped calendar-block bootstrap,Bootstrap 37,High_alcohol_use,13.25258151016691,0.11220248230232406,2,High alcohol use,37
Grouped calendar-block bootstrap,Bootstrap 37,High_fasting_plasma_glucose,88.41683469029034,0.7485778013856463,1,High fasting plasma glucose,37
Grouped calendar-block bootstrap,Bootstrap 37,Low_physical_activity,10.8366759729736,0.09174830904762168,3,Low physical activity,37
Grouped calendar-block bootstrap,Bootstrap 37,Tobacco_use,5.606994437776944,0.04747140726440802,4,Tobacco use,37
Grouped calendar-block bootstrap,Bootstrap 38,High_alcohol_use,12.08661194452468,0.10944736998353952,2,High alcohol use,38
Grouped calendar-block bootstrap,Bootstrap 38,High_fasting_plasma_glucose,85.30897482037544,0.7724946389390571,1,High fasting plasma glucose,38
Grouped calendar-block bootstrap,Bootstrap 38,Low_physical_activity,8.752852755905513,0.07925932580478058,3,Low physical activity,38
Grouped calendar-block bootstrap,Bootstrap 38,Tobacco_use,4.284656736714875,0.03879866527262283,4,Tobacco use,38
Grouped calendar-block bootstrap,Bootstrap 39,High_alcohol_use,8.886028174004133,0.0735653528375378,3,High alcohol use,39
Grouped calendar-block bootstrap,Bootstrap 39,High_fasting_plasma_glucose,98.58694681560291,0.8161783178768963,1,High fasting plasma glucose,39
Grouped calendar-block bootstrap,Bootstrap 39,Low_physical_activity,9.94534031113281,0.0823351507277736,2,Low physical activity,39
Grouped calendar-block bootstrap,Bootstrap 39,Tobacco_use,3.372625424143146,0.02792117855779215,4,Tobacco use,39
Grouped calendar-block bootstrap,Bootstrap 40,High_alcohol_use,13.106771799396066,0.11619590431320795,2,High alcohol use,40
Grouped calendar-block bootstrap,Bootstrap 40,High_fasting_plasma_glucose,86.42612690925598,0.7661964460975667,1,High fasting plasma glucose,40
Grouped calendar-block bootstrap,Bootstrap 40,Low_physical_activity,9.44178858373095,0.08370460549799859,3,Low physical activity,40
Grouped calendar-block bootstrap,Bootstrap 40,Tobacco_use,3.824226549421163,0.03390304409122665,4,Tobacco use,40
Grouped calendar-block bootstrap,Bootstrap 41,High_alcohol_use,13.781073579674258,0.12382480557777126,2,High alcohol use,41
Grouped calendar-block bootstrap,Bootstrap 41,High_fasting_plasma_glucose,84.20991793099572,0.7566374749573093,1,High fasting plasma glucose,41
Grouped calendar-block bootstrap,Bootstrap 41,Low_physical_activity,9.382905246273559,0.08430666966237442,3,Low physical activity,41
Grouped calendar-block bootstrap,Bootstrap 41,Tobacco_use,3.921037366887664,0.03523104980254502,4,Tobacco use,41
Grouped calendar-block bootstrap,Bootstrap 42,High_alcohol_use,7.4182003129054515,0.06240040028736177,3,High alcohol use,42
Grouped calendar-block bootstrap,Bootstrap 42,High_fasting_plasma_glucose,97.98235016430125,0.8242077071863472,1,High fasting plasma glucose,42
Grouped calendar-block bootstrap,Bootstrap 42,Low_physical_activity,9.730970602334642,0.08185495607524326,2,Low physical activity,42
