location_name,age_name,year,Baseline_Scaling_Factor,Main_GBD_Rate,Main_GBD_Lwr_95,Main_GBD_Upr_95,Baseline_Scaled_Rate,Baseline_Scaled_Lwr_95,Baseline_Scaled_Upr_95,Absolute_Change,Relative_Change_Percent,Main_GBD_95UI,GLOBOCAN_Baseline_Scaled_95UI
China,40-44 years,2030,1.277070079241356,56.55011193367908,39.25409792794387,78.00512838799384,72.21845592825109,50.130233951387225,99.61801549168744,15.668343994572012,27.7070079241356,56.55 (39.25 to 78.01),72.22 (50.13 to 99.62)
China,40-44 years,2040,1.277070079241356,78.77881965167371,19.178875821331324,215.63568242390423,100.60607345510346,24.492768464907723,275.38187804035925,21.82725380342974,27.707007924135613,78.78 (19.18 to 215.64),100.61 (24.49 to 275.38)
China,40-44 years,2050,1.277070079241356,160.01140642301164,6.581228279986362,817.6156272422363,204.3457794801563,8.404689721027637,1044.1524538712138,44.33437305714466,27.707007924135603,160.01 (6.58 to 817.62),204.35 (8.4 to 1044.15)
China,45-49 years,2023,1.2595156307089759,80.5407648021,79.91379257962569,81.1698949212797,101.44235217750027,100.65267086327353,102.23475139635691,20.90158737540027,25.95156307089759,80.54 (79.91 to 81.17),101.44 (100.65 to 102.23)
China,45-49 years,2030,1.2595156307089759,99.58265310695036,69.1258170685575,137.36207173375152,125.42590813567374,87.06504708337748,173.00967641522763,25.843255028723377,25.95156307089759,99.58 (69.13 to 137.36),125.43 (87.07 to 173.01)
China,45-49 years,2040,1.2595156307089759,132.27854532229318,32.26569413597265,361.70574766112276,166.60689544087396,40.639146099932496,455.5740428964607,34.32835011858077,25.951563070897596,132.28 (32.27 to 361.71),166.61 (40.64 to 455.57)
China,45-49 years,2050,1.2595156307089759,265.01471486756833,11.43181972048096,1338.8645863658255,333.7901757435847,14.398555625392884,1686.3208739304648,68.77546087601638,25.95156307089758,265.01 (11.43 to 1338.86),333.79 (14.4 to 1686.32)
China,Overall ASIR (25-49y),2023,1.2675696934631338,32.87222078381767,32.535346071361346,33.21133166976234,41.66783082239621,41.24189530610791,42.096645684526074,8.795610038578545,26.75696934631337,32.87 (32.54 to 33.21),41.67 (41.24 to 42.1)
China,Overall ASIR (25-49y),2030,1.2675522544658775,38.005498177049994,26.286476496190822,52.592873844105924,48.173954896418515,33.32586207927501,66.65242674287133,10.168456719368521,26.755225446587744,38.01 (26.29 to 52.59),48.17 (33.33 to 66.65)
China,Overall ASIR (25-49y),2040,1.2677006626776717,51.902540315969844,12.371015371566237,143.82494358269963,65.79688475320954,15.680528402332818,182.33525781060902,13.894344437239695,26.770066267767163,51.9 (12.37 to 143.82),65.8 (15.68 to 182.34)
China,Overall ASIR (25-49y),2050,1.2679827259039056,106.87400445882162,4.23426712158839,551.5489440768399,135.5143915019628,5.3650646372425115,699.4608817539751,28.640387043141175,26.798272590390553,106.87 (4.23 to 551.55),135.51 (5.37 to 699.46)
Global,25-29 years,2023,1.220346432416679,10.149674433349999,10.04234844718992,10.257962745424955,12.38611898492945,12.255144100613395,12.518268240242547,2.236444551579451,22.034643241667908,10.15 (10.04 to 10.26),12.39 (12.26 to 12.52)
Global,25-29 years,2030,1.220346432416679,16.21049550793973,12.50596934209806,20.70238492355942,19.78242036082085,15.261615070541731,25.264081583982584,3.5719248528811214,22.034643241667908,16.21 (12.51 to 20.7),19.78 (15.26 to 25.26)
Global,25-29 years,2040,1.220346432416679,34.20900832028341,13.041374961967463,74.0917555431111,41.74684126017035,15.914995408645197,90.41760954852434,7.53783293988694,22.034643241667904,34.21 (13.04 to 74.09),41.75 (15.91 to 90.42)
Global,25-29 years,2050,1.220346432416679,87.04642146041961,11.026533118985656,327.1408896305218,106.22678988386171,13.456190353678501,399.2252175582259,19.180368423442104,22.0346432416679,87.05 (11.03 to 327.14),106.23 (13.46 to 399.23)
Global,30-34 years,2023,1.0776468390627567,25.479015562689998,25.326602621812135,25.633666312080013,27.457380583563662,27.293133259594374,27.624039474802498,1.9783650208736638,7.764683906275671,25.48 (25.33 to 25.63),27.46 (27.29 to 27.62)
Global,30-34 years,2030,1.0776468390627567,36.952459602000715,32.36917939330926,41.893272256044014,39.82170128569028,34.88254385625505,45.146152424721315,2.869241683689566,7.764683906275664,36.95 (32.37 to 41.89),39.82 (34.88 to 45.15)
Global,30-34 years,2040,1.0776468390627567,74.82254531551273,38.08701807702274,132.78415025371285,80.63227944989217,41.04435464002963,143.0944197985478,5.80973413437944,7.764683906275673,74.82 (38.09 to 132.78),80.63 (41.04 to 143.09)
Global,30-34 years,2050,1.0776468390627567,175.30992675087396,34.82144787215944,542.1870931966198,188.92218841940274,37.52522323102117,584.2862071639616,13.612261668528788,7.764683906275677,175.31 (34.82 to 542.19),188.92 (37.53 to 584.29)
Global,35-39 years,2023,1.0486916787784972,44.92414622623,44.72847662828653,45.12039617740589,47.11157832367583,46.90638124452258,47.317384014434666,2.1874320974458286,4.86916787784972,44.92 (44.73 to 45.12),47.11 (46.91 to 47.32)
Global,35-39 years,2030,1.0486916787784972,61.172352338732516,54.02348321467061,68.85385878254591,64.15093686893513,56.65397730585489,72.20646875704566,2.9785845302026175,4.869167877849724,61.17 (54.02 to 68.85),64.15 (56.65 to 72.21)
Global,35-39 years,2040,1.0486916787784972,119.43712177089758,72.05442397930274,185.85943930134144,125.25271573839439,75.56287484627259,194.90924741775396,5.81559396749681,4.869167877849728,119.44 (72.05 to 185.86),125.25 (75.56 to 194.91)
Global,35-39 years,2050,1.0486916787784972,263.1575476258745,73.11343897623868,683.4629976923301,275.97113040301065,76.67345506126095,716.7419584329538,12.813582777136162,4.869167877849721,263.16 (73.11 to 683.46),275.97 (76.67 to 716.74)
Global,40-44 years,2023,0.986813861533618,76.47203962191,76.19164110128418,76.75232284835273,75.46366871864885,75.18696757174176,75.7402560916579,-1.0083709032611523,-1.3186138466381954,76.47 (76.19 to 76.75),75.46 (75.19 to 75.74)
Global,40-44 years,2030,0.986813861533618,103.28417190334632,91.23326910598031,116.22180336530457,101.9222525112432,90.03025458680817,114.68928657331705,-1.3619193921031183,-1.3186138466381927,103.28 (91.23 to 116.22),101.92 (90.03 to 114.69)
Global,40-44 years,2040,0.986813861533618,182.39776004232317,116.22916175605623,271.3924728393248,179.9926379224472,114.69654793530937,267.8138541137317,-2.4051221198759833,-1.3186138466381956,182.4 (116.23 to 271.39),179.99 (114.7 to 267.81)
Global,40-44 years,2050,0.986813861533618,385.6198256048921,133.35384441056803,879.7750105455323,380.53498918908394,131.59542215314593,868.1741754372163,-5.084836415808184,-1.3186138466381991,385.62 (133.35 to 879.78),380.53 (131.6 to 868.17)
Global,45-49 years,2023,1.022284030804057,103.65498984378,103.307722550949,104.00214841765722,105.96484083045301,105.60983502257132,106.31973549668442,2.3098509866730126,2.2284030804057036,103.65 (103.31 to 104),105.96 (105.61 to 106.32)
Global,45-49 years,2030,1.022284030804057,143.08968933202877,126.39970908701046,161.00120158309298,146.27830437684665,129.21640409792926,164.58895731866082,3.1886150448178796,2.228403080405703,143.09 (126.4 to 161),146.28 (129.22 to 164.59)
Global,45-49 years,2040,1.022284030804057,227.15843264936026,145.08699617443264,337.65711813825993,232.22043815991992,148.3201192664518,345.1814797600621,5.062005510559658,2.2284030804057027,227.16 (145.09 to 337.66),232.22 (148.32 to 345.18)
Global,45-49 years,2050,1.022284030804057,463.12369702520266,178.74818516515998,985.1417426423161,473.4439597558011,182.7314152295497,1007.0946715817199,10.320262730598415,2.228403080405708,463.12 (178.75 to 985.14),473.44 (182.73 to 1007.09)
Global,Overall ASIR (25-49y),2023,1.032745681524587,48.357185624315115,48.150219180382344,48.564934763435524,49.94067462419427,49.723160982472244,50.15906306723393,1.5834889998791581,3.274568152458697,48.36 (48.15 to 48.56),49.94 (49.72 to 50.16)
Global,Overall ASIR (25-49y),2030,1.0346746558132078,67.05709393595563,58.753691025198144,76.09511899716335,69.38227558801884,60.71054503499024,78.84233934065755,2.3251816520632076,3.467465581320783,67.06 (58.75 to 76.1),69.38 (60.71 to 78.84)
Global,Overall ASIR (25-49y),2040,1.03812673666095,119.78328232876702,71.476144894159,189.800745896411,124.35022799050013,73.74092762179153,198.21572175981876,4.566945661733115,3.812673666094991,119.78 (71.48 to 189.8),124.35 (73.74 to 198.22)
Global,Overall ASIR (25-49y),2050,1.041341407063894,259.6072845140696,79.32406754540271,657.3969062569182,270.33981493991786,81.52574046346581,691.3615775782409,10.732530425848267,4.134140706389389,259.61 (79.32 to 657.4),270.34 (81.53 to 691.36)
