year,age_name,High_BMI,High_alcohol_use,High_fasting_plasma_glucose,Low_physical_activity,Tobacco_use,n_features_missing,n_features_equal_zero
2010,25-29 years,0,0.010184134,0.022848882,0.011747556,0.129478379,0,1
2010,30-34 years,0,0.01331315,0.029600978,0.011397475,0.130591659,0,1
2010,35-39 years,0,0.013361842,0.037545924,0.010722944,0.130078604,0,1
2010,40-44 years,0,0.01586942,0.045163714,0.011288664,0.133872936,0,1
2010,45-49 years,0,0.013408332,0.05338105,0.01181228,0.1326165,0,1
2011,25-29 years,0,0.010564681,0.02277653,0.011882217,0.130172563,0,1
2011,30-34 years,0,0.013629297,0.02951959,0.011555872,0.131287794,0,1
2011,35-39 years,0,0.013572243,0.037420697,0.01084688,0.130678318,0,1
2011,40-44 years,0,0.016092975,0.044968127,0.011407718,0.134534625,0,1
2011,45-49 years,0,0.013573459,0.053101456,0.011904371,0.133232468,0,1
2012,25-29 years,0,0.010957607,0.022720416,0.011988601,0.130719234,0,1
2012,30-34 years,0,0.013944584,0.029542359,0.011696655,0.131813551,0,1
2012,35-39 years,0,0.013808352,0.037416518,0.010980937,0.131045091,0,1
2012,40-44 years,0,0.016329416,0.044860082,0.011521322,0.13494841899999999,0,1
2012,45-49 years,0,0.013736492,0.05291535,0.012013252,0.133687166,0,1
2013,25-29 years,0,0.011355481,0.022772248,0.012091865,0.130876802,0,1
2013,30-34 years,0,0.014233344,0.029559032,0.011834647,0.132006106,0,1
2013,35-39 years,0,0.014072569,0.037442648,0.011060886,0.131193662,0,1
2013,40-44 years,0,0.016520973,0.044691641,0.0116251,0.135065432,0,1
2013,45-49 years,0,0.013925812,0.052834634,0.012086849,0.133953934,0,1
2014,25-29 years,0,0.011668101,0.022847353,0.012164505,0.130728042,0,1
2014,30-34 years,0,0.01445702,0.029642604,0.011981672,0.131850965,0,1
2014,35-39 years,0,0.014307999,0.037503958,0.011124246,0.131115344,0,1
2014,40-44 years,0,0.016647684,0.044541693,0.01176221,0.134867215,0,1
2014,45-49 years,0,0.014084465,0.052742453,0.012180123,0.133948401,0,1
2015,25-29 years,0,0.011819729,0.022898971,0.012212374,0.130377835,0,1
2015,30-34 years,0,0.014557065,0.029697158,0.012101057,0.131454824,0,1
2015,35-39 years,0,0.014444991,0.037599504,0.011230843,0.130746584,0,1
2015,40-44 years,0,0.016739991,0.044553072,0.011900103,0.134407823,0,1
2015,45-49 years,0,0.014175333,0.05273041,0.012293494,0.133606343,0,1
2016,25-29 years,0,0.011879971,0.022901742,0.012219045,0.129812214,0,1
2016,30-34 years,0,0.014523407,0.029683094,0.012218108,0.130837555,0,1
2016,35-39 years,0,0.014469697,0.037622501,0.011321523,0.130175562,0,1
2016,40-44 years,0,0.016708003,0.04448931,0.01203362,0.133729732,0,1
2016,45-49 years,0,0.014196481,0.052658661,0.012379216,0.13302745,0,1
2017,25-29 years,0,0.011899573,0.023021697,0.012261983,0.12910838,0,1
2017,30-34 years,0,0.014397606,0.029800497,0.01234601,0.130068481,0,1
2017,35-39 years,0,0.01441155,0.037736415,0.011424941,0.129549048,0,1
2017,40-44 years,0,0.016536283,0.04455363,0.012199053,0.132876826,0,1
2017,45-49 years,0,0.014135201,0.052667357,0.012495614,0.132315992,0,1
2018,25-29 years,0,0.011941008,0.023172137,0.012282919,0.128414072,0,1
2018,30-34 years,0,0.014267987,0.029991875,0.01246242,0.129340977,0,1
2018,35-39 years,0,0.014309117,0.037923533,0.011561957,0.128868251,0,1
2018,40-44 years,0,0.016322462,0.044703102,0.012357651,0.132044562,0,1
2018,45-49 years,0,0.014042137,0.052750078,0.012649861,0.131566378,0,1
2019,25-29 years,0,0.012001936,0.023379459,0.012294861,0.127874112,0,1
2019,30-34 years,0,0.014164705,0.030249508,0.012536291,0.128763294,0,1
2019,35-39 years,0,0.0142163,0.038192652,0.011677946,0.128344777,0,1
2019,40-44 years,0,0.016129346,0.045060319,0.012470801,0.131379009,0,1
2019,45-49 years,0,0.013964521,0.053008612,0.012786981,0.130941352,0,1
2020,25-29 years,0,0.012101101,0.023673157,0.012287149,0.127479173,0,1
2020,30-34 years,0,0.014132922,0.030584534,0.012563483,0.128331929,0,1
2020,35-39 years,0,0.014180415,0.038599955,0.011767885,0.127935336,0,1
2020,40-44 years,0,0.016031123,0.045535678,0.012543136,0.130894099,0,1
2020,45-49 years,0,0.013955213,0.053412344,0.012921721,0.130444757,0,1
2021,25-29 years,0,0.012290908,0.02403401,0.012341262,0.12713703,0,1
2021,30-34 years,0,0.014197892,0.030976455,0.01255517,0.128006493,0,1
2021,35-39 years,0,0.014238855,0.039077686,0.011842604,0.12757666,0,1
2021,40-44 years,0,0.016037295,0.04604919,0.012604768,0.130510604,0,1
2021,45-49 years,0,0.014088862,0.053926356,0.013048626,0.130036822,0,1
2022,25-29 years,0,0.012518745,0.024452188,0.012396722,0.126823219,0,1
2022,30-34 years,0,0.014321281,0.031378057,0.012546764,0.127711524,0,1
2022,35-39 years,0,0.014359251,0.039623864,0.011912848,0.127297223,0,1
2022,40-44 years,0,0.016078493,0.046700226,0.012640034,0.130224498,0,1
2022,45-49 years,0,0.014258603,0.054578741,0.01318268,0.129732177,0,1
2023,25-29 years,0,0.01278197,0.025011343,0.012452162,0.126562943,0,1
2023,30-34 years,0,0.014492506,0.032046331,0.012391762,0.127430066,0,1
2023,35-39 years,0,0.014568366,0.040487655,0.011994053,0.126968429,0,1
2023,40-44 years,0,0.016239884,0.047710849,0.012682763,0.129928242,0,1
2023,45-49 years,0,0.014464701,0.055625895,0.013235712,0.129561462,0,1
